ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
307,RUG Lands,xugengyu,Grixis Delver,Delver,P,0,2,0,111,58%,14%,60%,4/1,League,
308,RUG Lands,matyo804,4c Loam,Knight,D,2,1,1,33,52%,4%,70%,4/1,League,
309,RUG Lands,Orim67,UR Delver,Delver,P,1,2,0,111,58%,14%,70%,4/1,League,
310,RUG Lands,Kharina,TES,Storm,D,0,2,0,54,35%,7%,60%,4/1,League,
311,RUG Lands,tomjab,Chalice Titan,Brew,D,1,2,0,125,58%,16%,50%,4/1,League,
312,BUG Lands,YURAI-WHITECATS,Dredge,Graveyard,P,1,2,0,66,65%,8%,40%,4/1,League,
313,BUG Lands,Samu_27,Grixis Phoenix,Brew,P,0,2,0,125,58%,16%,30%,4/1,League,
314,BUG Lands,htown83,Colorless Cloudpost,Big Mana,P,2,0,1,24,83%,3%,30%,4/1,League,
315,BUG Lands,Hulahula,Doomsday,Doomsday,P,0,2,0,19,58%,2%,30%,4/1,League,
316,BUG Lands,Nady,Goblins,Tribal,D,2,0,1,63,78%,8%,30%,4/1,League,
317,BUG Lands,Nate C,Nic Fit,Nic Fit,P,2,0,1,8,88%,1%,40%,4/1,Tournament,
318,BG Lands,TheJigIsAlwaysup,Slow Depths,BGx Depths,D,2,1,1,16,38%,2%,40%,4/3,League,
319,BG Lands,ultrasuperbob,Eldrazi Stompy,Chalice,D,2,0,1,28,57%,4%,50%,4/3,League,
320,BG Lands,Kihara_Works,BUG Control,Non-W Control,D,2,1,1,59,63%,7%,60%,4/3,League,
321,BG Lands,sawatrix,ANT,Storm,P,2,0,1,54,35%,7%,70%,4/3,League,
322,BG Lands,akiiiii1126,Sneak & Show,Show & Tell,D,2,0,1,30,40%,4%,80%,4/3,League,
323,BG Lands,wiz0mystic,BUG Control,Non-W Control,P,0,2,0,59,63%,7%,80%,4/3,League,
324,BG Lands,codyb1127,4c Control,Non-W Control,D,2,1,1,59,63%,7%,80%,4/3,League,
325,BG Lands,lololdemars13,Eldrazi Stompy,Chalice,D,2,0,1,28,57%,4%,90%,4/3,League,
326,BG Lands,NicolasBeland,BR Reanimator,Graveyard,D,0,2,0,66,65%,8%,80%,4/3,League,
327,BG Lands,TheHollywoodMK,Doomsday,Doomsday,P,2,1,1,19,58%,2%,80%,4/3,League,
328,RUG Uro Lands,wingzerofnc,Sneak & Show,Show & Tell,P,1,2,0,30,40%,4%,70%,4/3,League,
329,RUG Uro Lands,Jubble,BUG Control,Non-W Control,P,2,1,1,59,63%,7%,70%,4/3,League,
330,RUG Uro Lands,Alucart,BR Reanimator,Graveyard,P,1,2,0,66,65%,8%,60%,4/3,League,
331,RUG Uro Lands,BrianMTG,Dredge,Graveyard,D,2,0,1,66,65%,8%,60%,4/3,League,
332,RUG Uro Lands,NathanLipetz,Maverick,Knight,D,2,1,1,33,52%,4%,60%,4/3,League,
333,RUG Uro Lands,saburo0827,Grixis Delver,Delver,P,2,1,1,111,58%,14%,70%,4/4,League,
334,RUG Uro Lands,RogerSteady,Painter,Painter,P,0,2,0,10,40%,1%,60%,4/4,League,
335,RUG Uro Lands,SaberLG,4c Delver,Delver,P,2,0,1,111,58%,14%,60%,4/4,League,
336,RUG Uro Lands,NicolasBeland,BR Reanimator,Graveyard,D,2,1,1,66,65%,8%,70%,4/4,League,
337,RUG Uro Lands,renatoaraujo,Urza,Brew,P,1,2,0,125,58%,16%,60%,4/4,League,
338,BG Lands,balenciaganboba,RUG Delver,Delver,D,2,0,1,111,58%,14%,70%,4/5,Tournament,
339,BG Lands,MiguelCaster,4c Control,Non-W Control,P,0,2,0,59,63%,7%,60%,4/5,Tournament,
340,BG Lands,into_play,G Cloudpost,Big Mana,P,2,0,1,24,83%,3%,70%,4/5,Tournament,
341,BG Lands,CiriBarrayar,Urza,Brew,D,2,1,1,125,58%,16%,70%,4/5,Tournament,
342,BG Lands,RogerSteady,Painter,Painter,D,2,1,1,10,40%,1%,70%,4/5,Tournament,
343,BG Lands,Danker,Sneak & Show,Show & Tell,D,1,2,0,30,40%,4%,60%,4/5,Tournament,
344,BG Lands,Carroz,Esper Vial,White Creatures,D,2,1,1,35,66%,4%,70%,4/5,Tournament,
345,BG Lands,MahfuzVanGoh,Dredge,Graveyard,D,0,2,0,66,65%,8%,60%,4/5,Tournament,
346,BUG Lands,Steff ,BUG Oko Zenith,Non-W Control,P,2,0,1,59,63%,7%,60%,4/5,Tournament,
347,RUG Uro Lands,BladeofIce,Rug Delver,Delver,D,2,1,1,111,58%,14%,70%,4/6,League,
348,RUG Uro Lands,ChanImperial,Hogaak,Graveyard,D,2,1,1,66,65%,8%,70%,4/6,League,
349,RUG Uro Lands,scifiemperor,Bant Oko Zenith,Brew,D,1,2,0,125,58%,16%,70%,4/6,League,
350,RUG Uro Lands,Control4Daze,ANT,Storm,P,1,2,0,54,35%,7%,60%,4/6,League,
351,RUG Uro Lands,KabukimanX,Urza,Brew,D,2,1,1,125,58%,16%,60%,4/6,League,
352,BG Lands,ScheisseSoze,4c Loam,Knight,P,0,2,0,33,52%,4%,50%,4/6,Practice,
353,Naya Sevinne's Lands,SaberLG,4c Delver,Delver,D,2,0,1,111,58%,14%,60%,4/8,League,
354,Naya Sevinne's Lands,sawatrix,RUG Delver,Delver,D,2,0,1,111,58%,14%,60%,4/8,League,
355,Naya Sevinne's Lands,LittleSparrow,Lands,Lands,P,0,2,0,14,57%,2%,60%,4/8,League,
356,Naya Sevinne's Lands,BereanStandardBearer,Eldrazi Stompy,Chalice,P,2,0,1,28,57%,4%,60%,4/8,League,
357,Naya Sevinne's Lands,Kwak675,4c Loam,Knight,P,2,1,1,33,52%,4%,60%,4/8,League,
358,BUG Lands,Cosmo K,Food Chain,Combo-Control,D,0,2,0,7,43%,1%,50%,4/8,Tournament,
359,Junk Lands,markdm,Eldrazi Stompy,Chalice,P,2,0,1,28,57%,4%,60%,4/8,League,
360,Junk Lands,victor_fefe,BUG Control,Non-W Control,P,2,1,1,59,63%,7%,70%,4/8,League,
361,Junk Lands,Alchiba,BR Reanimator,Graveyard,D,0,2,0,66,65%,8%,60%,4/8,League,
362,Junk Lands,uyeharak1,4c Control,Non-W Control,D,0,2,0,59,63%,7%,60%,4/8,League,
363,Junk Lands,ECE,Maverick,Knight,D,1,2,0,33,52%,4%,50%,4/8,League,
364,UG Uro Lands,wiz0mystic,Maverick,Knight,P,1,2,0,33,52%,4%,40%,4/8,League,
365,UG Uro Lands,phill_stroud,Echo Storm,Storm,D,2,0,1,54,35%,7%,50%,4/8,League,
